x_error,y_error,z_error,rx_error,ry_error,rz_error
0.000000000000000000e+00,-1.387778780781445676e-17,-1.383995056152331760e-02,-1.110223024625156540e-16,2.220446049250313081e-16,4.440892098500626162e-16
8.673617379884035472e-19,-2.428612866367529932e-17,-2.805297851562460476e-02,-2.220446049250312588e-16,4.440892098500625176e-16,7.216449660063515541e-16
-6.866613759074863020e-19,-3.816391647148975608e-17,-3.924995422363231068e-02,-1.110223024625156540e-16,4.996003610813204432e-16,1.165734175856414367e-15
7.243072846743437204e-19,-3.469446951953614189e-17,-4.890594482421828371e-02,-1.110223024625156294e-16,4.996003610813203446e-16,8.326672684688672081e-16
1.018259088962224915e-18,-3.469446951953614189e-17,-5.773094177246052006e-02,-5.551115123125782702e-16,6.106226635438360972e-16,9.992007221626408864e-16
-3.851472255899462526e-03,4.792673135299817255e-03,-1.206893711623818755e-01,-1.478817910777066591e-01,3.619688037064343333e-02,-9.524108416655093987e-03
-3.851472255899462526e-03,4.792673135299817255e-03,-1.246403294143347829e-01,-1.478817910777066869e-01,3.619688037064349578e-02,-9.524108416654873677e-03
-3.851472255899465128e-03,4.792673135299817255e-03,-1.266883640823032176e-01,-1.478817910777067979e-01,3.619688037064299618e-02,-9.524108416656152168e-03
-3.851472255899465562e-03,4.792673135299813786e-03,-1.263443546828891817e-01,-1.478817910777064926e-01,3.619688037064339864e-02,-9.524108416655097456e-03
-3.851472255899469031e-03,4.792673135299813786e-03,-1.239694004592563070e-01,-1.478817910777069089e-01,3.619688037064355129e-02,-9.524108416654651632e-03
-3.851472255899470766e-03,4.792673135299810316e-03,-1.189173679885532353e-01,-1.478817910777069089e-01,3.619688037064349578e-02,-9.524108416655095721e-03
-2.934201051824220259e-03,4.654487752308929249e-03,-1.151759834620105227e-01,-1.740249362749612672e-01,4.490673629509957937e-02,-1.417031332712835948e-02
-2.934201051824221994e-03,4.654487752308904963e-03,-1.068479652735337959e-01,-1.740249362749611561e-01,4.490673629509924630e-02,-1.417031332712869254e-02
-2.934201051824218524e-03,4.654487752308891085e-03,-9.549298480478374263e-02,-1.740249362749613782e-01,4.490673629509907977e-02,-1.417031332712863703e-02
-2.934201051824215055e-03,4.654487752308884146e-03,-8.381596759286968901e-02,-1.740249362749618223e-01,4.490673629509924630e-02,-1.417031332712808192e-02
-2.934201051824214188e-03,4.654487752308884146e-03,-7.084592059579930545e-02,-1.740249362749617112e-01,4.490673629509907977e-02,-1.417031332712874805e-02
-2.934201051824209851e-03,4.654487752308884146e-03,-5.497395709482277848e-02,-1.740249362749618223e-01,4.490673629509913528e-02,-1.417031332712902561e-02
8.497325283515007495e-04,1.425986592540562370e-03,-2.800323012621042107e-02,-8.653330537191228355e-02,5.644909335353069657e-02,-1.268303336503232188e-02
8.497325283514984727e-04,1.425986592540555431e-03,-1.243323806078056037e-02,-8.653330537191207539e-02,5.644909335353093249e-02,-1.268303336503215882e-02
8.497325283514953285e-04,1.425986592540555431e-03,5.456776587656975153e-03,-8.653330537191217253e-02,5.644909335353075208e-02,-1.268303336503243291e-02
8.497325283514947864e-04,1.425986592540551962e-03,2.140480515211007351e-02,-8.653330537191196437e-02,5.644909335353087698e-02,-1.268303336503204606e-02
8.497325283514925096e-04,1.425986592540551962e-03,3.712379929273512680e-02,-8.653330537191183947e-02,5.644909335353075208e-02,-1.268303336503248842e-02
8.497325283514925096e-04,1.425986592540555431e-03,5.421577927320386792e-02,-8.653330537191174232e-02,5.644909335353071045e-02,-1.268303336503249189e-02
