x,y,z,qw,qx,qy,qz
0.000000000000000000e+00,1.999999999999998654e-02,7.637000274658204413e-01,2.125969995986231875e-01,2.125969995986228822e-01,6.743904772175114415e-01,-6.743904772175114415e-01
8.673617379884035472e-19,1.999999999999997613e-02,7.637000274658206633e-01,2.125969995986232985e-01,2.125969995986227712e-01,6.743904772175115525e-01,-6.743904772175115525e-01
-6.866613759074863020e-19,1.999999999999996225e-02,7.637000274658207744e-01,2.125969995986233541e-01,2.125969995986225491e-01,6.743904772175115525e-01,-6.743904772175114415e-01
7.243072846743437204e-19,1.999999999999996572e-02,7.637000274658207744e-01,2.125969995986233263e-01,2.125969995986227712e-01,6.743904772175117746e-01,-6.743904772175116635e-01
1.018259088962224915e-18,1.999999999999996572e-02,7.637000274658207744e-01,2.125969995986232985e-01,2.125969995986225491e-01,6.743904772175114415e-01,-6.743904772175115525e-01
-3.851472255899462526e-03,2.479267313529981767e-02,7.066326350632040620e-01,2.122813286144924205e-01,1.872893197925970254e-01,6.254456249077661179e-01,-7.271018625316719719e-01
-3.851472255899462526e-03,2.479267313529981767e-02,7.066326350632042841e-01,2.122813286144923928e-01,1.872893197925968867e-01,6.254456249077660068e-01,-7.271018625316717499e-01
-3.851472255899465128e-03,2.479267313529981767e-02,7.066326350632046172e-01,2.122813286144922817e-01,1.872893197925975528e-01,6.254456249077660068e-01,-7.271018625316720829e-01
-3.851472255899465562e-03,2.479267313529981420e-02,7.066326350632046172e-01,2.122813286144923373e-01,1.872893197925969977e-01,6.254456249077658958e-01,-7.271018625316716388e-01
-3.851472255899469031e-03,2.479267313529981420e-02,7.066326350632046172e-01,2.122813286144925315e-01,1.872893197925967756e-01,6.254456249077660068e-01,-7.271018625316718609e-01
-3.851472255899470766e-03,2.479267313529981073e-02,7.066326350632046172e-01,2.122813286144924760e-01,1.872893197925969977e-01,6.254456249077661179e-01,-7.271018625316720829e-01
-2.934201051824220259e-03,2.465448775230892967e-02,7.038500480321301378e-01,2.103138680673174998e-01,1.829101599139243139e-01,6.163143130864369157e-01,-7.365246891880943281e-01
-2.934201051824221994e-03,2.465448775230890538e-02,7.038500480321302488e-01,2.103138680673175276e-01,1.829101599139245637e-01,6.163143130864370267e-01,-7.365246891880944391e-01
-2.934201051824218524e-03,2.465448775230889150e-02,7.038500480321303598e-01,2.103138680673175831e-01,1.829101599139245637e-01,6.163143130864368047e-01,-7.365246891880943281e-01
-2.934201051824215055e-03,2.465448775230888456e-02,7.038500480321303598e-01,2.103138680673176664e-01,1.829101599139242307e-01,6.163143130864365826e-01,-7.365246891880942171e-01
-2.934201051824214188e-03,2.465448775230888456e-02,7.038500480321303598e-01,2.103138680673176386e-01,1.829101599139245637e-01,6.163143130864368047e-01,-7.365246891880945501e-01
-2.934201051824209851e-03,2.465448775230888456e-02,7.038500480321303598e-01,2.103138680673175831e-01,1.829101599139246748e-01,6.163143130864368047e-01,-7.365246891880946611e-01
8.497325283515007495e-04,2.142598659254056279e-02,7.158277940437114406e-01,1.982028258495824036e-01,1.883638651234815775e-01,6.489619938657203990e-01,-7.099880454337322844e-01
8.497325283514984727e-04,2.142598659254055585e-02,7.158277940437116627e-01,1.982028258495824313e-01,1.883638651234814665e-01,6.489619938657205100e-01,-7.099880454337322844e-01
8.497325283514953285e-04,2.142598659254055585e-02,7.158277940437116627e-01,1.982028258495824036e-01,1.883638651234816885e-01,6.489619938657206211e-01,-7.099880454337323954e-01
8.497325283514947864e-04,2.142598659254055238e-02,7.158277940437116627e-01,1.982028258495824313e-01,1.883638651234814665e-01,6.489619938657205100e-01,-7.099880454337321734e-01
8.497325283514925096e-04,2.142598659254055238e-02,7.158277940437116627e-01,1.982028258495823481e-01,1.883638651234816885e-01,6.489619938657206211e-01,-7.099880454337322844e-01
8.497325283514925096e-04,2.142598659254055585e-02,7.158277940437116627e-01,1.982028258495822926e-01,1.883638651234816885e-01,6.489619938657206211e-01,-7.099880454337321734e-01
3.053713828438967600e-03,1.884666083362199207e-02,6.778593104488679355e-01,1.905802896509737054e-01,2.018311233617623435e-01,6.695935494106772801e-01,-6.889033527474599516e-01
3.053713828438968901e-03,1.884666083362200595e-02,6.778593104488680465e-01,1.905802896509737887e-01,2.018311233617621214e-01,6.695935494106771690e-01,-6.889033527474597296e-01
3.053713828438970202e-03,1.884666083362201983e-02,6.778593104488681576e-01,1.905802896509739275e-01,2.018311233617618994e-01,6.695935494106770580e-01,-6.889033527474597296e-01
3.053713828438973672e-03,1.884666083362201983e-02,6.778593104488681576e-01,1.905802896509741495e-01,2.018311233617611222e-01,6.695935494106769470e-01,-6.889033527474595076e-01
3.053713828438978008e-03,1.884666083362201983e-02,6.778593104488681576e-01,1.905802896509743438e-01,2.018311233617613443e-01,6.695935494106773911e-01,-6.889033527474598406e-01
3.053713828438971937e-03,1.884666083362201983e-02,6.778593104488681576e-01,1.905802896509743716e-01,2.018311233617611222e-01,6.695935494106772801e-01,-6.889033527474597296e-01
3.227278217687039492e-03,1.599805854843529621e-02,6.413713565097293179e-01,1.734764281323959989e-01,1.975604630845271548e-01,6.768641838192283045e-01,-6.875541207577645642e-01
3.227278217687036890e-03,1.599805854843530314e-02,6.413713565097294289e-01,1.734764281323958601e-01,1.975604630845274601e-01,6.768641838192285265e-01,-6.875541207577646752e-01
3.227278217687036023e-03,1.599805854843530661e-02,6.413713565097295399e-01,1.734764281323957769e-01,1.975604630845279042e-01,6.768641838192286375e-01,-6.875541207577645642e-01
3.227278217687031252e-03,1.599805854843530661e-02,6.413713565097296510e-01,1.734764281323959156e-01,1.975604630845272380e-01,6.768641838192283045e-01,-6.875541207577641201e-01
3.227278217687026916e-03,1.599805854843530661e-02,6.413713565097296510e-01,1.734764281323959434e-01,1.975604630845271270e-01,6.768641838192286375e-01,-6.875541207577643421e-01
3.227278217687030819e-03,1.599805854843530661e-02,6.413713565097296510e-01,1.734764281323959156e-01,1.975604630845272380e-01,6.768641838192286375e-01,-6.875541207577642311e-01
2.783447210421459428e-03,1.619751436731332872e-02,6.463341289685404778e-01,1.726256339632109837e-01,1.917427647632021503e-01,6.809224559925837195e-01,-6.854047793711323111e-01
2.783447210421461596e-03,1.619751436731333566e-02,6.463341289685403668e-01,1.726256339632109560e-01,1.917427647632020671e-01,6.809224559925836084e-01,-6.854047793711324221e-01
2.783447210421464632e-03,1.619751436731334607e-02,6.463341289685402558e-01,1.726256339632108172e-01,1.917427647632025112e-01,6.809224559925837195e-01,-6.854047793711327552e-01
2.783447210421464632e-03,1.619751436731334954e-02,6.463341289685402558e-01,1.726256339632109282e-01,1.917427647632018450e-01,6.809224559925832754e-01,-6.854047793711324221e-01
2.783447210421465499e-03,1.619751436731336341e-02,6.463341289685402558e-01,1.726256339632109560e-01,1.917427647632018450e-01,6.809224559925833864e-01,-6.854047793711326442e-01
2.783447210421460295e-03,1.619751436731337035e-02,6.463341289685402558e-01,1.726256339632110393e-01,1.917427647632016230e-01,6.809224559925833864e-01,-6.854047793711326442e-01
2.004399639010088358e-03,1.816992930650361202e-02,6.786921299187729240e-01,1.876655601499468140e-01,1.918380101297375295e-01,6.587454218099798586e-01,-7.028757248955613823e-01
2.004399639010093128e-03,1.816992930650358773e-02,6.786921299187727019e-01,1.876655601499468140e-01,1.918380101297375573e-01,6.587454218099799697e-01,-7.028757248955616044e-01
2.004399639010095730e-03,1.816992930650357732e-02,6.786921299187725909e-01,1.876655601499467585e-01,1.918380101297373352e-01,6.587454218099797476e-01,-7.028757248955614934e-01
2.004399639010095296e-03,1.816992930650357385e-02,6.786921299187725909e-01,1.876655601499467863e-01,1.918380101297375573e-01,6.587454218099798586e-01,-7.028757248955616044e-01
2.004399639010095296e-03,1.816992930650357385e-02,6.786921299187725909e-01,1.876655601499467585e-01,1.918380101297376683e-01,6.587454218099798586e-01,-7.028757248955616044e-01
2.004399639010093562e-03,1.816992930650357385e-02,6.786921299187725909e-01,1.876655601499467863e-01,1.918380101297376683e-01,6.587454218099798586e-01,-7.028757248955616044e-01
1.139721710093412679e-03,2.016183293811036475e-02,7.126941495141625449e-01,1.965479025899314058e-01,1.750919021972909551e-01,6.347917888607566006e-01,-7.264648185338320463e-01
1.139721710093411595e-03,2.016183293811037516e-02,7.126941495141626559e-01,1.965479025899314613e-01,1.750919021972907608e-01,6.347917888607567116e-01,-7.264648185338320463e-01
1.139721710093411595e-03,2.016183293811038557e-02,7.126941495141627669e-01,1.965479025899315169e-01,1.750919021972906497e-01,6.347917888607566006e-01,-7.264648185338319353e-01
1.139721710093408126e-03,2.016183293811038557e-02,7.126941495141628780e-01,1.965479025899315724e-01,1.750919021972907608e-01,6.347917888607568226e-01,-7.264648185338321573e-01
1.139721710093405307e-03,2.016183293811038557e-02,7.126941495141628780e-01,1.965479025899316279e-01,1.750919021972905387e-01,6.347917888607566006e-01,-7.264648185338319353e-01
1.139721710093402488e-03,2.016183293811038210e-02,7.126941495141628780e-01,1.965479025899317667e-01,1.750919021972904277e-01,6.347917888607568226e-01,-7.264648185338319353e-01
-3.890365030459316288e-03,2.498292075887113828e-02,6.991063422017272933e-01,2.102991991447795417e-01,1.807363709678854735e-01,6.192401352120894265e-01,-7.346089204406222040e-01
-3.890365030459316722e-03,2.498292075887112787e-02,6.991063422017270712e-01,2.102991991447795417e-01,1.807363709678855290e-01,6.192401352120894265e-01,-7.346089204406224260e-01
-3.890365030459317589e-03,2.498292075887112787e-02,6.991063422017269602e-01,2.102991991447795417e-01,1.807363709678855290e-01,6.192401352120894265e-01,-7.346089204406223150e-01
-3.890365030459318890e-03,2.498292075887112440e-02,6.991063422017268492e-01,2.102991991447793474e-01,1.807363709678860841e-01,6.192401352120895375e-01,-7.346089204406226481e-01
-3.890365030459319324e-03,2.498292075887112440e-02,6.991063422017268492e-01,2.102991991447792641e-01,1.807363709678859731e-01,6.192401352120892044e-01,-7.346089204406223150e-01
-3.890365030459321059e-03,2.498292075887112440e-02,6.991063422017268492e-01,2.102991991447793474e-01,1.807363709678858621e-01,6.192401352120890934e-01,-7.346089204406223150e-01
-2.798930850339885132e-03,2.440963951848326707e-02,7.034928775998374739e-01,2.031437759198067294e-01,1.764442910468491943e-01,6.164637460194827279e-01,-7.399813972699889053e-01
-2.798930850339887734e-03,2.440963951848324973e-02,7.034928775998376960e-01,2.031437759198067294e-01,1.764442910468490000e-01,6.164637460194828389e-01,-7.399813972699887943e-01
-2.798930850339885999e-03,2.440963951848324279e-02,7.034928775998379180e-01,2.031437759198067849e-01,1.764442910468488890e-01,6.164637460194827279e-01,-7.399813972699885722e-01
-2.798930850339887734e-03,2.440963951848323932e-02,7.034928775998380290e-01,2.031437759198068405e-01,1.764442910468484449e-01,6.164637460194827279e-01,-7.399813972699884612e-01
-2.798930850339887734e-03,2.440963951848323932e-02,7.034928775998380290e-01,2.031437759198070070e-01,1.764442910468481118e-01,6.164637460194827279e-01,-7.399813972699885722e-01
-2.798930850339887734e-03,2.440963951848323932e-02,7.034928775998380290e-01,2.031437759198070070e-01,1.764442910468485559e-01,6.164637460194829499e-01,-7.399813972699889053e-01
1.261602960620568023e-03,2.145956240734774034e-02,7.144111577630178900e-01,1.959597210010660950e-01,1.888034157177470584e-01,6.563291192896733017e-01,-7.036939285875201122e-01
1.261602960620569975e-03,2.145956240734775422e-02,7.144111577630180010e-01,1.959597210010662061e-01,1.888034157177469474e-01,6.563291192896731907e-01,-7.036939285875197791e-01
1.261602960620569107e-03,2.145956240734775769e-02,7.144111577630180010e-01,1.959597210010661228e-01,1.888034157177473915e-01,6.563291192896735238e-01,-7.036939285875198902e-01
1.261602960620571709e-03,2.145956240734775422e-02,7.144111577630180010e-01,1.959597210010661505e-01,1.888034157177472805e-01,6.563291192896734128e-01,-7.036939285875197791e-01
1.261602960620575396e-03,2.145956240734775422e-02,7.144111577630180010e-01,1.959597210010661228e-01,1.888034157177477246e-01,6.563291192896735238e-01,-7.036939285875200012e-01
1.261602960620579732e-03,2.145956240734775422e-02,7.144111577630180010e-01,1.959597210010660118e-01,1.888034157177479466e-01,6.563291192896734128e-01,-7.036939285875198902e-01
3.214773115695709720e-03,1.836266595889502959e-02,6.742358917839853527e-01,1.928278852326180126e-01,2.024912779454230427e-01,6.706894448069736780e-01,-6.870155439706290279e-01
3.214773115695710587e-03,1.836266595889502265e-02,6.742358917839855748e-01,1.928278852326179293e-01,2.024912779454233203e-01,6.706894448069735670e-01,-6.870155439706290279e-01
3.214773115695710587e-03,1.836266595889502265e-02,6.742358917839856858e-01,1.928278852326180681e-01,2.024912779454232092e-01,6.706894448069733450e-01,-6.870155439706291389e-01
3.214773115695703648e-03,1.836266595889501918e-02,6.742358917839856858e-01,1.928278852326180959e-01,2.024912779454232092e-01,6.706894448069732340e-01,-6.870155439706291389e-01
3.214773115695697143e-03,1.836266595889501918e-02,6.742358917839857968e-01,1.928278852326181514e-01,2.024912779454229872e-01,6.706894448069732340e-01,-6.870155439706291389e-01
3.214773115695704515e-03,1.836266595889501918e-02,6.742358917839857968e-01,1.928278852326180404e-01,2.024912779454235423e-01,6.706894448069734560e-01,-6.870155439706294720e-01
2.802487559737597625e-03,1.615216905019076221e-02,6.359156212599867963e-01,1.763984652684248144e-01,1.959139509609748586e-01,6.785953459619747941e-01,-6.855725065290706466e-01
2.802487559737595890e-03,1.615216905019076221e-02,6.359156212599867963e-01,1.763984652684249532e-01,1.959139509609745256e-01,6.785953459619747941e-01,-6.855725065290705356e-01
2.802487559737596758e-03,1.615216905019076221e-02,6.359156212599867963e-01,1.763984652684250087e-01,1.959139509609749696e-01,6.785953459619750161e-01,-6.855725065290706466e-01
2.802487559737595023e-03,1.615216905019076221e-02,6.359156212599867963e-01,1.763984652684250365e-01,1.959139509609748586e-01,6.785953459619749051e-01,-6.855725065290705356e-01
2.802487559737595023e-03,1.615216905019076221e-02,6.359156212599867963e-01,1.763984652684251198e-01,1.959139509609747476e-01,6.785953459619747941e-01,-6.855725065290704245e-01
2.802487559737589819e-03,1.615216905019076568e-02,6.359156212599867963e-01,1.763984652684252308e-01,1.959139509609747476e-01,6.785953459619749051e-01,-6.855725065290705356e-01
2.765600409557726711e-03,1.678827572544655186e-02,6.477131079739671948e-01,1.789461491966278794e-01,1.961153577519066937e-01,6.815461994431969428e-01,-6.819177517604845251e-01
2.765600409557727579e-03,1.678827572544654839e-02,6.477131079739671948e-01,1.789461491966278794e-01,1.961153577519070268e-01,6.815461994431970538e-01,-6.819177517604847472e-01
2.765600409557729313e-03,1.678827572544653451e-02,6.477131079739671948e-01,1.789461491966277407e-01,1.961153577519073599e-01,6.815461994431969428e-01,-6.819177517604846361e-01
2.765600409557731915e-03,1.678827572544653104e-02,6.477131079739671948e-01,1.789461491966278239e-01,1.961153577519069158e-01,6.815461994431967208e-01,-6.819177517604844141e-01
2.765600409557736252e-03,1.678827572544653104e-02,6.477131079739670838e-01,1.789461491966279350e-01,1.961153577519065827e-01,6.815461994431967208e-01,-6.819177517604843031e-01
2.765600409557733650e-03,1.678827572544652758e-02,6.477131079739670838e-01,1.789461491966280182e-01,1.961153577519065827e-01,6.815461994431968318e-01,-6.819177517604845251e-01
1.777145350706051379e-03,1.772229797587918446e-02,6.889715248394333580e-01,1.875816242311411086e-01,1.830722018240602822e-01,6.543279284371142923e-01,-7.093325491173321229e-01
1.777145350706053331e-03,1.772229797587918446e-02,6.889715248394335800e-01,1.875816242311411364e-01,1.830722018240602544e-01,6.543279284371144033e-01,-7.093325491173319008e-01
1.777145350706056150e-03,1.772229797587918099e-02,6.889715248394336911e-01,1.875816242311411086e-01,1.830722018240603655e-01,6.543279284371142923e-01,-7.093325491173319008e-01
1.777145350706054415e-03,1.772229797587918099e-02,6.889715248394336911e-01,1.875816242311410809e-01,1.830722018240605875e-01,6.543279284371144033e-01,-7.093325491173320119e-01
1.777145350706054415e-03,1.772229797587918099e-02,6.889715248394338021e-01,1.875816242311411641e-01,1.830722018240601434e-01,6.543279284371145144e-01,-7.093325491173319008e-01
1.777145350706054415e-03,1.772229797587918099e-02,6.889715248394338021e-01,1.875816242311411364e-01,1.830722018240601434e-01,6.543279284371145144e-01,-7.093325491173317898e-01
-8.141981855996497167e-04,2.084259294838943649e-02,7.106545705247970801e-01,1.994441702620922408e-01,1.768583177755379265e-01,6.339485825398439856e-01,-7.259837140582390269e-01
-8.141981855996486325e-04,2.084259294838945384e-02,7.106545705247971911e-01,1.994441702620924906e-01,1.768583177755376212e-01,6.339485825398438745e-01,-7.259837140582389159e-01
