x_error,y_error,z_error,rx_error,ry_error,rz_error
-1.058015448931473525e-04,-3.882674639709496334e-04,2.162107326783790917e-03,9.130259385299675356e-05,-1.801610415481009987e-03,5.207674455765599116e-04
-1.360242054988680281e-04,-5.664518480023202074e-04,7.289162206655097620e-04,9.388108062959701135e-05,-2.662839985809672787e-03,8.154598468159581079e-04
-3.323329958578068784e-04,-8.726013405930196920e-04,2.378401025788678957e-03,2.411546003600327536e-04,-3.244451515045661694e-03,9.804882536664576934e-04
-3.858973825853084945e-04,-1.007420456152884752e-03,2.845404171435417240e-03,3.121446606101629657e-04,-3.514735209379176058e-03,1.051009130525334566e-03
-5.166410648620731530e-04,-1.120801718060487201e-03,1.587954025108140321e-03,3.719484774339785116e-04,-3.702395501570713166e-03,1.083285481896579952e-03
-3.929486199954410931e-03,4.631981866331479070e-03,-1.115990074453294678e-01,-1.478280832882392093e-01,3.566318101982408201e-02,-9.368760586847650618e-03
-3.991227179271946215e-03,4.594501567356013699e-03,-1.164721892163899097e-01,-1.478074902594495310e-01,3.559890741530574026e-02,-9.364312537751490542e-03
-4.063415858740196916e-03,4.600625857280452036e-03,-1.232320760565613904e-01,-1.478093399136446995e-01,3.554472324953962536e-02,-9.364100650331802500e-03
-4.124818918592402378e-03,4.538511022791114763e-03,-1.281085342456064202e-01,-1.477761511121382376e-01,3.550455884923868488e-02,-9.372210370972867619e-03
-4.050807990610223210e-03,4.448101770866942639e-03,-1.307577194940717780e-01,-1.477253318806331650e-01,3.554265939363653731e-02,-9.371381750495278579e-03
-3.986267164612503251e-03,4.381884985989820125e-03,-1.335570996925312670e-01,-1.476892369464323229e-01,3.558051995162520714e-02,-9.372189717786126931e-03
-2.950139352962294001e-03,4.593515271395273714e-03,-1.182131451951307088e-01,-1.739955631819428417e-01,4.482909913921787060e-02,-1.415155684320822636e-02
-2.906998888111127222e-03,4.579260642970314071e-03,-1.195412675968943184e-01,-1.739886673075767554e-01,4.485804491225812290e-02,-1.414721952006283388e-02
-2.888020826546773556e-03,4.569476452405983602e-03,-1.199930586705094671e-01,-1.739812522048219678e-01,4.487214975200145423e-02,-1.415391946505968265e-02
-2.911852002889713572e-03,4.556399098537021464e-03,-1.219121389516597542e-01,-1.739766058602364718e-01,4.486441227469425974e-02,-1.415528830148134534e-02
-2.889064747560498095e-03,4.458667098056721956e-03,-1.203441748785499810e-01,-1.739310397687977849e-01,4.488386872283470219e-02,-1.414667484744664902e-02
-2.849866557405995003e-03,4.460452742120740027e-03,-1.172283284946280535e-01,-1.739330789062024651e-01,4.491162567232689223e-02,-1.414332226232559338e-02
8.673797233301212134e-04,1.402269338494771533e-03,-3.761275930520868727e-02,-8.652184236030628639e-02,5.645474308873939945e-02,-1.267940811142399989e-02
9.091786309585072993e-04,1.369004662565294350e-03,-3.437397408410847177e-02,-8.650589512483827792e-02,5.648719415602385802e-02,-1.267905451317173984e-02
9.658080155092882641e-04,1.338432628666615803e-03,-2.897760859341158568e-02,-8.649075591415747444e-02,5.652492802731040600e-02,-1.267975528508150443e-02
