x,y,z,qw,qx,qy,qz
-1.058015448931473525e-04,1.961173253602905078e-02,7.797020853541275498e-01,2.133702952288173138e-01,2.130385053289205466e-01,6.742848151652079958e-01,-6.741125279942571380e-01
-1.360242054988680281e-04,1.943354815199768021e-02,7.924819222021107779e-01,2.137596796076089156e-01,2.132297002598834146e-01,6.742251052484099505e-01,-6.739884285014861032e-01
-3.323329958578068784e-04,1.912739865940698072e-02,8.053283827152417640e-01,2.139956872968001578e-01,2.133857243934224046e-01,6.742301642668913075e-01,-6.738590832185207269e-01
-3.858973825853084945e-04,1.899257954384711566e-02,8.154513764614744753e-01,2.141030052607415801e-01,2.134605760927830165e-01,6.742326979079124039e-01,-6.737987493786803395e-01
-5.166410648620731530e-04,1.887919828193951322e-02,8.230189232633894347e-01,2.141707707497254309e-01,2.135192888746421103e-01,6.742362229701645004e-01,-6.737550815169136564e-01
-3.929486199954410931e-03,2.463198186633147949e-02,7.157229987802564697e-01,2.125092623314183415e-01,1.874239372315741059e-01,6.254282407113195275e-01,-7.270155410283298814e-01
-3.991227179271946215e-03,2.459450156735601412e-02,7.148007752611491572e-01,2.125305113389978073e-01,1.874465519590639007e-01,6.254297090579420404e-01,-7.270022358537420182e-01
-4.063415858740196916e-03,2.460062585728045245e-02,7.100889230889464443e-01,2.125491201370397210e-01,1.874646216864263026e-01,6.254236267794780479e-01,-7.269973687785528105e-01
-4.124818918592402378e-03,2.453851102279111518e-02,7.048684555004873786e-01,2.125567263432041609e-01,1.874847276715594369e-01,6.254307097617867184e-01,-7.269838665768649788e-01
-4.050807990610223210e-03,2.444810177086694306e-02,6.998443160283891462e-01,2.125391012978835314e-01,1.874773250576583505e-01,6.254529772331666182e-01,-7.269717713081303989e-01
-3.986267164612503251e-03,2.438188498598982054e-02,6.919929033592265855e-01,2.125224532860628679e-01,1.874688793651443364e-01,6.254697257379657760e-01,-7.269644064905268488e-01
-2.950139352962294001e-03,2.459351527139527413e-02,7.008128862990099517e-01,2.103436787053675205e-01,1.829335544098256161e-01,6.163194046076455601e-01,-7.365061052046738554e-01
-2.906998888111127222e-03,2.457926064297031449e-02,6.911567457087697264e-01,2.103346580998654292e-01,1.829230768552690956e-01,6.163252538423948934e-01,-7.365063889959964083e-01
-2.888020826546773556e-03,2.456947645240598402e-02,6.793499741664046354e-01,2.103268949587304426e-01,1.829213989904360238e-01,6.163286289730737222e-01,-7.365061983151069969e-01
-2.911852002889713572e-03,2.455639909853702188e-02,6.657538766733402946e-01,2.103286064685735424e-01,1.829250162481332875e-01,6.163294129542203903e-01,-7.365041550861163300e-01
-2.889064747560498095e-03,2.445866709805672237e-02,6.543517937493796843e-01,2.103204981484413927e-01,1.829207646720963920e-01,6.163489115863247658e-01,-7.364912091102788771e-01
-2.849866557405995003e-03,2.446045274212074044e-02,6.415956766323250848e-01,2.103124144345888680e-01,1.829099936851410479e-01,6.163512729593942918e-01,-7.364942164512422451e-01
8.673797233301212134e-04,2.140226933849477195e-02,7.062182648647131744e-01,1.982009629077321200e-01,1.883619937609874173e-01,6.489669625477754167e-01,-7.099845203455832365e-01
9.091786309585072993e-04,2.136900466256529477e-02,6.938870580203837513e-01,1.981884269831846734e-01,1.883526086525527665e-01,6.489757483155869089e-01,-7.099824788837630907e-01
9.658080155092882641e-04,2.133843262866661622e-02,6.813934088626431018e-01,1.981738211083264867e-01,1.883416929376758864e-01,6.489846472286094903e-01,-7.099813173529655463e-01
9.531892199551473144e-04,2.135569655836908401e-02,6.685687829984424679e-01,1.981729756382764607e-01,1.883394879806684630e-01,6.489831221373275616e-01,-7.099835323264458431e-01
9.754338062169248683e-04,2.135845818693363901e-02,6.569309682943079709e-01,1.981669683554136419e-01,1.883278334607272342e-01,6.489845569369511180e-01,-7.099869890738579326e-01
1.008328846153660986e-03,2.129763333516828533e-02,6.462758367675071058e-01,1.981575579961905587e-01,1.883171927059040796e-01,6.489976441240643545e-01,-7.099804751271461267e-01
3.078067377024415029e-03,1.883140879672817736e-02,6.676740159157278365e-01,1.905734553072505888e-01,2.018233885318629628e-01,6.695981763030374179e-01,-6.889030122342465479e-01
3.095177570788075830e-03,1.883870571359137075e-02,6.583137145703159554e-01,1.905694180652671432e-01,2.018150343631668342e-01,6.695980245568009526e-01,-6.889067239567988610e-01
