x_error,y_error,z_error,rx_error,ry_error,rz_error
-1.058015448931473525e-04,-3.882674639709496334e-04,2.162107326783790917e-03,9.130259385299675356e-05,-1.801610415481009987e-03,5.207674455765599116e-04
-1.360242054988680281e-04,-5.664518480023202074e-04,7.289162206655097620e-04,9.388108062959701135e-05,-2.662839985809672787e-03,8.154598468159581079e-04
-3.323329958578068784e-04,-8.726013405930196920e-04,2.378401025788678957e-03,2.411546003600327536e-04,-3.244451515045661694e-03,9.804882536664576934e-04
-3.858973825853084945e-04,-1.007420456152884752e-03,2.845404171435417240e-03,3.121446606101629657e-04,-3.514735209379176058e-03,1.051009130525334566e-03
-5.166410648620731530e-04,-1.120801718060487201e-03,1.587954025108140321e-03,3.719484774339785116e-04,-3.702395501570713166e-03,1.083285481896579952e-03
-5.538994337187815422e-04,-1.140895826842902583e-03,9.196459659928102326e-04,3.835762688992140949e-04,-3.781419127804160323e-03,1.100664389016942687e-03
-6.227710679833940244e-04,-1.180644500455931695e-03,-3.953438264839292948e-03,4.039822092462052108e-04,-3.845253993228065631e-03,1.109452316639789613e-03
-7.010068022887854314e-04,-1.174275118348961505e-03,-1.071313149566288647e-02,4.019092372852781678e-04,-3.899212420382333968e-03,1.113710360113111383e-03
-7.670334773395852575e-04,-1.240109065959442425e-03,-1.558964239604820889e-02,4.347584163851703621e-04,-3.940031478610384920e-03,1.107959719773475571e-03
-6.887926447643183533e-04,-1.336262788982082311e-03,-1.823924889135819516e-02,4.857411752824769384e-04,-3.902319852111127765e-03,1.104975980564296438e-03
-6.200610508731147332e-04,-1.406568791427090931e-03,-2.103896452764397740e-02,5.219698076062180689e-04,-3.864878287834255972e-03,1.100666262676500487e-03
-6.099029218507059620e-04,-1.479305336161952644e-03,-2.374502771917719190e-02,5.602962043161607278e-04,-3.859054717037319927e-03,1.094892093118433841e-03
-5.640017964178443890e-04,-1.494232380978663399e-03,-2.507326173598001251e-02,5.674740600062534333e-04,-3.829940936583127887e-03,1.096518344410569610e-03
-5.438076354359873497e-04,-1.504728921546315268e-03,-2.552512876938817232e-02,5.748069122980621528e-04,-3.816556435906017473e-03,1.088448500041598946e-03
-5.683857296915620838e-04,-1.518239743831594629e-03,-2.744421838747823639e-02,5.793700067294142849e-04,-3.824414835865728567e-03,1.087650585156524049e-03
-5.436995524507803532e-04,-1.620290044218871545e-03,-2.587657910368967862e-02,6.252494974332466421e-04,-3.804714730544655858e-03,1.093433683459626125e-03
-5.018575816313706464e-04,-1.618331873828208339e-03,-2.276078725540975345e-02,6.234643621154068935e-04,-3.776789694519480135e-03,1.094397452478627041e-03
-4.435262828429136633e-04,-1.610891558755846859e-03,-2.116703548931975210e-02,6.221069597245453692e-04,-3.737145748574838278e-03,1.092514720754099141e-03
-4.012005182718042105e-04,-1.644419496463257052e-03,-1.792825650632534629e-02,6.382492887075301262e-04,-3.704844038974445738e-03,1.090974201244965551e-03
-3.439619537976622656e-04,-1.675239848956323885e-03,-1.253188797730464543e-02,6.535837603136846309e-04,-3.667305864662699123e-03,1.088174741693590138e-03
