x,y,z,qw,qx,qy,qz
-1.058015448931473525e-04,1.961173253602905078e-02,7.797020853541275498e-01,2.133702952288173138e-01,2.130385053289205466e-01,6.742848151652079958e-01,-6.741125279942571380e-01
-1.360242054988680281e-04,1.943354815199768021e-02,7.924819222021107779e-01,2.137596796076089156e-01,2.132297002598834146e-01,6.742251052484099505e-01,-6.739884285014861032e-01
-3.323329958578068784e-04,1.912739865940698072e-02,8.053283827152417640e-01,2.139956872968001578e-01,2.133857243934224046e-01,6.742301642668913075e-01,-6.738590832185207269e-01
-3.858973825853084945e-04,1.899257954384711566e-02,8.154513764614744753e-01,2.141030052607415801e-01,2.134605760927830165e-01,6.742326979079124039e-01,-6.737987493786803395e-01
-5.166410648620731530e-04,1.887919828193951322e-02,8.230189232633894347e-01,2.141707707497254309e-01,2.135192888746421103e-01,6.742362229701645004e-01,-6.737550815169136564e-01
-5.538994337187815422e-04,1.885910417315709783e-02,8.282416521915787477e-01,2.142020241876516073e-01,2.135412942000352032e-01,6.742335372764720614e-01,-6.737408594681953966e-01
-6.227710679833940244e-04,1.881935549954406872e-02,8.273195262126997740e-01,2.142243291958442764e-01,2.135620109706672931e-01,6.742345226254985446e-01,-6.737262149795878452e-01
-7.010068022887854314e-04,1.882572488165103891e-02,8.226078676498449482e-01,2.142441685116078243e-01,2.135785380088807139e-01,6.742285046760116973e-01,-6.737206897840590791e-01
-7.670334773395852575e-04,1.875989093404055799e-02,8.173873473500455900e-01,2.142524926733507806e-01,2.135977239862384414e-01,6.742346027569628975e-01,-6.737058572821785773e-01
-6.887926447643183533e-04,1.866373721101791811e-02,8.123627866311027290e-01,2.142333578176583708e-01,2.135914401015255315e-01,6.742555069383470157e-01,-6.736930135282982457e-01
-6.200610508731147332e-04,1.859343120857290949e-02,8.045110385241138751e-01,2.142154354758473711e-01,2.135841262766344784e-01,6.742712671531685409e-01,-6.736852577414770282e-01
-6.099029218507059620e-04,1.852069466383804777e-02,7.952810037749634686e-01,2.142074511710489737e-01,2.135881840850889501e-01,6.742841972378859072e-01,-6.736735684567837223e-01
-5.640017964178443890e-04,1.850576761902133702e-02,7.856247515696840322e-01,2.141974251718649913e-01,2.135785873423383663e-01,6.742899030790814319e-01,-6.736740878824101220e-01
-5.438076354359873497e-04,1.849527107845368515e-02,7.738179040675259301e-01,2.141894143762290426e-01,2.135775777077244530e-01,6.742929500272567545e-01,-6.736739052488295298e-01
-5.683857296915620838e-04,1.848176025616840579e-02,7.602217972375218125e-01,2.141913083930817585e-01,2.135809799315684376e-01,6.742935631681444830e-01,-6.736716107201923265e-01
-5.436995524507803532e-04,1.837970995578112887e-02,7.488193895242399867e-01,2.141817409255441229e-01,2.135772662336595795e-01,6.743117492751691255e-01,-6.736576266856338924e-01
-5.018575816313706464e-04,1.838166812617179208e-02,7.360632178715433849e-01,2.141728451211737383e-01,2.135673409535726597e-01,6.743142360277345482e-01,-6.736611124156230979e-01
-4.435262828429136633e-04,1.838910844124415356e-02,7.226639886806021096e-01,2.141589949123959280e-01,2.135544718531680042e-01,6.743178178759843266e-01,-6.736660099371180044e-01
-4.012005182718042105e-04,1.835558050353674336e-02,7.103327755981668767e-01,2.141458735284174630e-01,2.135458211831030573e-01,6.743265496875732179e-01,-6.736641830262600772e-01
-3.439619537976622656e-04,1.832476015104367653e-02,6.978391294787500421e-01,2.141306488554161336e-01,2.135357444918116743e-01,6.743354352383263972e-01,-6.736633223109468327e-01
-3.565068005560529589e-04,1.834211583710625496e-02,6.850145263182989552e-01,2.141298135721409202e-01,2.135335731945815496e-01,6.743340499675997135e-01,-6.736656627085941818e-01
-3.338136748983048011e-04,1.834494894669236667e-02,6.733767604331251100e-01,2.141234297829475441e-01,2.135222832986845010e-01,6.743358538556945003e-01,-6.736694646171930145e-01
-3.004003308920081671e-04,1.828368007117490979e-02,6.627215888060131732e-01,2.141131617484497152e-01,2.135122977951847689e-01,6.743488023498021011e-01,-6.736629316102303866e-01
-2.666984645593295901e-04,1.829207417515132592e-02,6.520849952272709249e-01,2.141043000722649414e-01,2.134986525205235797e-01,6.743502972375066129e-01,-6.736685762882014261e-01
-2.498722078896354064e-04,1.829925223144406726e-02,6.427247589153680662e-01,2.141002269166166760e-01,2.134903490924919822e-01,6.743504369939387066e-01,-6.736723623577729470e-01
